Station,Year,Month,Day,Magnitude,Value
28079004,2014,1,1,SO2,4
28079004,2014,1,1,CO,0.3
28079004,2014,1,1,NO2,9
28079004,2014,1,1,NO,30
28079004,2014,1,1,VV,0.89
28079004,2014,1,1,DV,7
28079004,2014,1,1,TMP,8.2
28079004,2014,1,1,Unknown,20
28079004,2014,1,1,HR,97
28079004,2014,1,1,LLA,2.5
28079008,2014,1,1,SO2,6
28079008,2014,1,1,CO,0.2
28079008,2014,1,1,NO2,16
28079008,2014,1,1,NO,35
28079008,2014,1,1,PM2.5,7
28079008,2014,1,1,PM10,9
28079008,2014,1,1,O3,27
28079008,2014,1,1,TOL,0.8
28079008,2014,1,1,BEN,0.5
28079008,2014,1,1,EBE,0.9
28079008,2014,1,1,Unknown,21
28079011,2014,1,1,NO2,6
28079011,2014,1,1,NO,27
28079011,2014,1,1,TOL,2
28079011,2014,1,1,BEN,1.5
28079011,2014,1,1,EBE,0.7
28079011,2014,1,1,Unknown,15
28079011,2014,1,1,LLA,3
28079016,2014,1,1,CO,0.3
28079016,2014,1,1,NO2,8
28079016,2014,1,1,NO,36
28079016,2014,1,1,O3,29
28079016,2014,1,1,Unknown,20
28079016,2014,1,1,LLA,4
28079017,2014,1,1,SO2,5
28079017,2014,1,1,NO2,7
28079017,2014,1,1,NO,27
28079017,2014,1,1,O3,31
28079017,2014,1,1,Unknown,20
28079018,2014,1,1,SO2,5
28079018,2014,1,1,CO,0.3
28079018,2014,1,1,NO2,4
28079018,2014,1,1,NO,26
28079018,2014,1,1,PM10,18
28079018,2014,1,1,O3,39
28079018,2014,1,1,TOL,0.5
28079018,2014,1,1,BEN,0.3
28079018,2014,1,1,EBE,1
28079018,2014,1,1,TMP,10.1
28079018,2014,1,1,Unknown,25
28079018,2014,1,1,LLA,2.5
28079024,2014,1,1,SO2,2
28079024,2014,1,1,CO,0.2
28079024,2014,1,1,NO2,1
28079024,2014,1,1,NO,11
28079024,2014,1,1,PM2.5,4
28079024,2014,1,1,PM10,5
28079024,2014,1,1,O3,42
28079024,2014,1,1,TOL,1
28079024,2014,1,1,BEN,0.1
28079024,2014,1,1,EBE,0.8
28079024,2014,1,1,TCH,1.35
28079024,2014,1,1,NMHC,0.25
28079024,2014,1,1,UV,3
28079024,2014,1,1,VV,2.56
